Id,Surface Area: Surface Area,Volume: Volume
5.20E+01,5.57E-13,1.87E-20
5.30E+01,2.76E-13,6.53E-21
5.40E+01,4.81E-13,1.63E-20
5.50E+01,7.65E-13,2.98E-20
5.60E+01,4.85E-13,1.55E-20
5.70E+01,4.98E-13,1.65E-20
5.80E+01,2.15E-14,1.28E-22
5.90E+01,4.51E-13,1.45E-20
6.00E+01,5.60E-13,1.93E-20
6.10E+01,6.06E-13,2.39E-20
6.20E+01,2.30E-13,5.63E-21
6.30E+01,1.33E-13,2.18E-21
6.40E+01,1.71E-13,3.20E-21
6.50E+01,2.61E-13,5.25E-21
6.60E+01,1.44E-13,2.43E-21
6.70E+01,5.43E-13,1.97E-20
6.80E+01,8.73E-14,8.96E-22
6.90E+01,3.65E-13,9.73E-21
7.00E+01,4.52E-13,1.36E-20
7.10E+01,6.54E-13,2.64E-20
7.20E+01,2.56E-13,6.53E-21
7.30E+01,5.51E-13,1.96E-20
7.40E+01,6.33E-14,5.12E-22
7.50E+01,1.92E-13,3.84E-21
7.60E+01,6.55E-13,2.69E-20
7.70E+01,1.01E-13,1.28E-21
7.80E+01,7.85E-14,8.96E-22
7.90E+01,3.37E-13,1.08E-20
8.00E+01,7.02E-13,3.00E-20
8.10E+01,2.15E-14,1.28E-22
8.20E+01,3.05E-13,8.45E-21
8.30E+01,5.33E-13,1.86E-20
8.40E+01,5.78E-13,2.16E-20
8.50E+01,5.31E-14,3.84E-22
8.60E+01,4.17E-14,2.56E-22
8.70E+01,1.17E-12,3.93E-20
8.80E+01,4.39E-13,1.36E-20
8.90E+01,6.42E-13,2.59E-20
9.00E+01,1.60E-13,2.82E-21
9.10E+01,5.42E-13,1.95E-20
9.20E+01,3.81E-13,1.01E-20
9.30E+01,1.71E-13,3.07E-21
9.40E+01,6.68E-13,2.64E-20
9.50E+01,6.25E-13,2.51E-20
9.60E+01,1.70E-13,3.07E-21
9.70E+01,4.60E-13,1.36E-20
9.80E+01,5.12E-13,1.65E-20
9.90E+01,4.42E-13,1.37E-20
1.00E+02,4.80E-13,1.59E-20
1.01E+02,5.38E-13,1.91E-20
1.02E+02,6.45E-14,5.12E-22
1.03E+02,1.20E-13,1.54E-21
1.04E+02,3.93E-13,1.05E-20
1.05E+02,2.18E-13,4.74E-21
1.06E+02,4.09E-13,1.29E-20
1.07E+02,5.57E-13,2.00E-20
1.08E+02,4.97E-13,1.66E-20
1.09E+02,8.26E-13,2.23E-20
1.10E+02,1.57E-13,2.69E-21
1.11E+02,8.77E-13,3.83E-20
1.12E+02,3.29E-13,8.07E-21
1.13E+02,5.75E-13,2.13E-20
1.14E+02,3.80E-13,1.15E-20
1.15E+02,2.81E-13,7.43E-21
1.16E+02,5.57E-13,2.06E-20
1.17E+02,2.32E-13,5.51E-21
1.18E+02,4.17E-13,1.23E-20
1.19E+02,1.96E-13,4.35E-21
1.20E+02,3.67E-13,9.73E-21
1.21E+02,4.56E-14,5.12E-22
1.22E+02,6.53E-13,2.15E-20
1.23E+02,4.13E-13,1.23E-20
1.24E+02,5.27E-13,1.77E-20
1.25E+02,5.42E-13,1.91E-20
1.26E+02,5.17E-13,1.83E-20
1.27E+02,1.95E-13,3.97E-21
1.28E+02,4.23E-13,1.27E-20
1.29E+02,6.12E-13,2.23E-20
1.30E+02,5.22E-13,1.82E-20
1.31E+02,6.03E-13,2.38E-20
1.32E+02,7.59E-14,7.68E-22
1.33E+02,9.20E-13,4.24E-20
1.34E+02,2.33E-13,5.89E-21
1.35E+02,6.54E-13,2.69E-20
1.36E+02,5.51E-13,1.78E-20
1.37E+02,5.21E-13,1.92E-20
1.38E+02,5.88E-13,2.28E-20
1.39E+02,4.28E-13,1.36E-20
1.40E+02,7.81E-13,3.09E-20
1.41E+02,7.05E-13,2.62E-20
1.42E+02,6.23E-13,2.19E-20
1.43E+02,3.46E-13,7.55E-21
1.44E+02,3.79E-13,1.05E-20
1.45E+02,5.55E-13,2.05E-20
1.46E+02,3.20E-13,7.30E-21
1.47E+02,3.79E-13,9.99E-21
1.48E+02,3.23E-13,7.17E-21
1.49E+02,7.15E-13,2.82E-20
1.50E+02,5.38E-13,1.86E-20
1.51E+02,2.33E-13,6.15E-21
